Date,District,Cases
5/28/2020,Gazipur,6
5/28/2020,Gopalganj,0
5/28/2020,Habiganj,0
5/28/2020,Jamalpur,0
5/28/2020,Jashore,0
5/28/2020,Jhalakhati,3
5/28/2020,Jhenaidah,0
5/28/2020,Joypurhat,0
5/28/2020,Khagrachhari,0
5/28/2020,Khulna,0
5/28/2020,Kishoreganj,0
5/28/2020,Kurigram,0
5/28/2020,Kushtia,8
5/28/2020,Lakshmipur,0
5/28/2020,Lalmonirhat,0
5/28/2020,Madaripur,0
5/28/2020,Magura,0
5/28/2020,Manikganj,1
5/28/2020,Meherpur,1
5/28/2020,Moulvibazar,0
5/28/2020,Munshiganj,40
5/28/2020,Mymensing,65
5/28/2020,Naogaon,0
5/28/2020,Narail,0
5/28/2020,Narayanganj,113
5/28/2020,Narsingdi,0
5/28/2020,Natore,0
5/28/2020,Netrokona,0
5/28/2020,Nilphamari,0
5/28/2020,Noakhali,41
5/28/2020,Pabna,0
5/28/2020,Panchagarh,0
5/28/2020,Patuakhali,0
5/28/2020,Pirojpur,1
5/28/2020,Rajbari,0
5/28/2020,Rajshahi,2
5/28/2020,Rangamati,0
5/28/2020,Rangpur,0
5/28/2020,Satkhira,0
5/28/2020,Shariatpur,0
5/28/2020,Sherpur,0
5/28/2020,Sirajganj,1
5/28/2020,Sunamganj,0
5/28/2020,Sylhet,0
5/28/2020,Tangail,0
5/28/2020,Thakurgaon,0
5/27/2020,Bagerhat,1
5/27/2020,Bandarban,4
5/27/2020,Barguna,0
5/27/2020,Barishal,0
5/27/2020,Bhola,9
5/27/2020,Bogura,0
5/27/2020,Brahmmanbaria,1
5/27/2020,Chandpur,2
5/27/2020,Chapai Nawabganj,3
5/27/2020,Chattogram,190
5/27/2020,Chuadanga,0
5/27/2020,Cox s Bazar,38
5/27/2020,Cumilla,73
5/27/2020,Dhaka,577
5/27/2020,Dinajpur,1
5/27/2020,Faridpur,25
5/27/2020,Feni,13
5/27/2020,Gaibandha,4
5/27/2020,Gazipur,11
5/27/2020,Gopalganj,3
5/27/2020,Habiganj,0
5/27/2020,Jamalpur,0
5/27/2020,Jashore,0
5/27/2020,Jhalakhati,0
5/27/2020,Jhenaidah,0
5/27/2020,Joypurhat,0
5/27/2020,Khagrachhari,0
5/27/2020,Khulna,6
5/27/2020,Kishoreganj,2
5/27/2020,Kurigram,0
5/27/2020,Kushtia,4
5/27/2020,Lakshmipur,31
5/27/2020,Lalmonirhat,1
5/27/2020,Madaripur,8
5/27/2020,Magura,1
5/27/2020,Manikganj,1
5/27/2020,Meherpur,1
5/27/2020,Moulvibazar,0
5/27/2020,Munshiganj,3
5/27/2020,Mymensing,15
5/27/2020,Naogaon,0
5/27/2020,Narail,0
5/27/2020,Narayanganj,27
5/27/2020,Narsingdi,1
5/27/2020,Natore,2
5/27/2020,Netrokona,1
5/27/2020,Nilphamari,0
5/27/2020,Noakhali,61
5/27/2020,Pabna,1
5/27/2020,Panchagarh,0
5/27/2020,Patuakhali,4
5/27/2020,Pirojpur,0
5/27/2020,Rajbari,2
5/27/2020,Rajshahi,1
5/27/2020,Rangamati,2
